"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",0.971158871043383,1.85310430858414,0.280647276554864,0.981369423900761,3.16802065064086,1.00193951973648,1.0000002658638
"black",1.02992326165407,1.00649749404473,1.01690847254967,1.02992058100395,1.04310729227221,1.02991579150333,1.0000002550343
"poverty",1.09403690664873,1.01135160540784,1.07009723962038,1.09401725289198,1.11860073263745,1.09397897753192,1.00000070044169
"educBachPlus",1.03379181009343,1.00629071983907,1.02117522520981,1.03377730312256,1.04663392656262,1.03374885498437,1.00000138433579
"male",0.911629016546126,1.01306829126092,0.888990424899759,0.911519923426154,0.935472757713993,0.91130461253542,1.00000006350313
"secperctot",0.918515677937615,1.00865971330662,0.902853252679292,0.918600017460788,0.933959993034442,0.918768141049346,1.00000081159887
"age1824.perc",1.00046941147159,1.01056997874829,0.980029509520892,1.00046373691036,1.02134798760698,1.00045325759589,1.00000022698833
"GovernmentEntity",3.15775011797886,1.2209089231926,2.1363025860813,3.15628668314222,4.67793845797239,3.15340906607263,1.00000090305123
