"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",1.39615224749358,1.88678211647234,0.389725708322524,1.41042902569592,4.72218270173438,1.43917469303638,1.00000021516301
"black",0.987681237526024,1.00702531949979,0.974192705748311,0.987679893643023,1.0013512693273,0.987677803732567,1.00000026597387
"poverty",1.10296491067136,1.0122607998858,1.07693454760142,1.1029424309765,1.1297273368306,1.10289857915782,1.00000072130742
"educBachPlus",1.05447312108536,1.00676590230044,1.04063816838507,1.05445841088223,1.0685617186232,1.05442960910693,1.0000013436579
"male",0.924695977212127,1.01361401701034,0.900764021703229,0.924590109728983,0.949867361690162,0.924381193431374,1.00000007999142
"secperctot",0.973592697576097,1.00951411729421,0.955378535060204,0.973689999118213,0.991587739012859,0.973883824632614,1.00000036694741
"age1824.perc",0.985467125861122,1.01143089060804,0.963713188090787,0.985463924079914,1.00770929379035,0.985458460146996,1.00000026026898
"GovernmentEntity",3.6147122197418,1.24048068545121,2.36960482057758,3.6133543405549,5.52342086062646,3.61070183751915,1.00000084102527
