"","mean","sd","0.025quant","0.5quant","0.975quant","mode","kld"
"(Intercept)",1.14115212118098,1.82784270228252,0.339055958285952,1.152823233059,3.62640424251892,1.17632718229143,1.00000026400652
"black",1.05099442027013,1.00638792897474,1.03793535186846,1.05099167349392,1.06422082137029,1.05098675422035,1.00000027534964
"poverty",1.0972959425404,1.01116027762372,1.07368457591757,1.09727603099902,1.12151700597792,1.09723720320364,1.00000074346531
"educBachPlus",1.03529023552457,1.00618523015396,1.02286614879734,1.03527565699046,1.04793548880818,1.03524705232077,1.00000143564012
"male",0.915274816412535,1.01279288996469,0.893012125834536,0.915168786287805,0.93870232724256,0.914959504058466,1.00000006329797
"secperctot",0.919431469495592,1.00855869005197,0.903931133651156,0.919515975262796,0.934707129844963,0.919684417295871,1.00000082782005
"age1824.perc",0.996576449276357,1.01039217695579,0.976553290909005,0.996570904550821,1.01702224470789,0.996560666480207,1.00000024622208
"GovernmentEntity",3.08545817358055,1.21690078521657,2.10086934523259,3.0840547649853,4.54134055755385,3.08129584343685,1.00000096317114
